Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Custom field (Source),Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,PLAT-24217,22600036,Search Alerts - WLM view - Commas are inserted in Message ID field after making search,EFitzgerald,Norkom QA,gaurav.jain,New,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.1,22/Jun/2022 05:43 AM,
Defect,3 - Medium,PLAT-24216,22599969,Issue with buffered logging (due to upgrade to log4j2),,Norkom Services,kslawinski,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Other,,,,,core 8.4.1.6,21/Jun/2022 09:17 AM,Not a bug
Defect,3 - Medium,PLAT-24215,22599948,Spaces around special characters removed with SWIFT MX parser,AManayangath,Norkom Support,WKhuan,New,,,,,,,,,,,,,,,,,,,,,,,8.0.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.0.1.26,21/Jun/2022 03:21 AM,
Defect,2 - High,PLAT-24214,22599884,CLONE - Worldcheck Delete is non-performant and causing timeouts,AManayangath,Norkom QA,KOReilly,New,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.3.0.4,20/Jun/2022 01:14 AM,
Defect,2 - High,PLAT-24213,22599882,"In 8.3, worldCheck Import (to delete userID) is running too long causing a transaction timeout error",meldeuna,Norkom QA,meldeuna,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.3.0.0_8.3.0.6,20/Jun/2022 12:47 AM,Duplicate
Defect,3 - Medium,PLAT-24212,22599824,MultiValue Transformer outputs values in different order for pacs.008 and pacs.009,david.chua,Norkom QA,DNamoro1,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.53,17/Jun/2022 07:30 AM,
Defect,3 - Medium,PLAT-24211,22599822,Match Exclusion Rules not work for Free Text Abbreviation Algorithm,RAli,Norkom Services,RAli,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.6.0.27,17/Jun/2022 05:35 AM,
Defect,2 - High,PLAT-24210,22599811,Incorrect XPATH mappings in OOTB MxMessage xml file,,Norkom QA,gaurav.jain,Closed,,,,,,,,,,,,,,,,,,,,,,,8.4.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.4.1,17/Jun/2022 12:21 AM,Core Product Issue
Defect,2 - High,PLAT-24209,22599662,CLONE - WLM Alert Individual Score is not correct for DOB included in check,EFitzgerald,Norkom QA,KOReilly,New,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,8.3.0.4,16/Jun/2022 09:45 AM,
Defect,2 - High,PLAT-24207,22599579,[LBG] REST connector X.509 authentication requires cert/private key to be insecurely stored on file system (instead of securely e.g. in JKS),Pnolan,Norkom QA,DStobbs,New,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.4.0.5,15/Jun/2022 11:55 AM,
Defect,3 - Medium,PLAT-24206,22599557,"A second import to re-introduce some client base-configuration using userGroupRelations,externalConnectors parameters generate import error",JForde,Norkom QA,JForde,Rejected,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.4,15/Jun/2022 09:57 AM,Duplicate
Defect,3 - Medium,PLAT-24205,22599453,Exporting WLM configuration (.zip file) does not contain standard lists which are in other domain than WLM,AManayangath,Norkom QA,marta.bialokoz,New,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,core.version=8.4.1.2  appsbuildscripts.version=8.4.0.0 ,14/Jun/2022 01:05 PM,
Defect,1 - Critical,PLAT-24202,22598989,[LBG] REST External Connector throws error when HTTP 202 response returned (regardless of parameter settings),,Norkom QA,DStobbs,Closed,8.4,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,Base Platform,,,,,8.4.0.5,08/Jun/2022 09:19 AM,Project Config Issue
